,gameIds,timeStamps,queues,seasons
33683,2675217949,1513750367327,1010,9
33684,2675220619,1513748912156,1010,9
33685,2675190038,1513746653107,1010,9
33686,2675074409,1513743601745,1010,9
33687,2674878105,1513738808360,1010,9
33688,2674450741,1513710370023,1010,9
33689,2674445340,1513708694873,1010,9
33690,2674422078,1513706624456,1010,9
33691,2671522758,1513393864166,450,9
33692,2671497107,1513392615450,450,9
33693,2671468413,1513390653568,450,9
33694,2671471947,1513389262682,450,9
33695,2671436815,1513387923461,450,9
33696,2671431176,1513386509185,450,9
33697,2679789018,1514271269451,1010,9
33698,2679785297,1514270070762,1010,9
33699,2679759706,1514268414213,1010,9
33700,2679744845,1514267009158,430,9
33701,2679725878,1514264789657,430,9
33702,2679720639,1514263506060,430,9
33703,2679673918,1514261451964,430,9
33704,2679230945,1514189468499,430,9
33705,2679198593,1514187787191,430,9
33706,2679192348,1514185459072,430,9
33707,2679166080,1514183381303,430,9
33708,2679120882,1514176875543,430,9
33709,2678238579,1514093639082,430,9
33710,2678191458,1514087771091,1010,9
33711,2678157572,1514086602739,1010,9
33712,2675768108,1513820757697,430,9
33713,2675729510,1513818957076,430,9
33714,2675721083,1513817121507,430,9
33715,2675710415,1513814988183,1010,9
33716,2675684737,1513813590079,1010,9
33717,2678877324,1514155498604,420,9
33718,2678891190,1514154078469,420,9
33719,2677553302,1514004092266,420,9
33720,2677524386,1514002189029,420,9
33721,2677485522,1513999939473,420,9
33722,2677455699,1513997663120,420,9
33723,2677418549,1513995678706,420,9
33724,2677409129,1513993945069,420,9
33725,2677379173,1513991307047,420,9
33726,2677370178,1513988845946,420,9
33727,2677317637,1513985206375,420,9
33728,2677310393,1513983037979,420,9
33729,2676545253,1513913475573,420,9
33730,2676476518,1513909355564,420,9
33731,2675656931,1513811617985,1010,9
33732,2672532688,1513481384256,400,9
33733,2672503203,1513479199956,400,9
33734,2672445935,1513475201652,450,9
33735,2671426787,1513385958003,420,9
33736,2669108654,1513110561065,420,9
33737,2675324107,1513758671895,1010,9
33738,2675318586,1513756838909,1010,9
33739,2667781159,1512943941362,420,9
33740,2665350513,1512683367356,430,9
33741,2662735814,1512360681526,430,9
33742,2662718197,1512359188501,430,9
33743,2647987394,1510975798802,430,9
33744,2647926069,1510973573954,430,9
33745,2647873526,1510970884972,430,9
33746,2646005420,1510732819035,430,9
33747,2645992081,1510730767221,430,9
33748,2645974804,1510728241911,430,9
33749,2645947237,1510725778117,430,9
33750,2645063089,1510641428691,420,9
33751,2644507291,1510572602184,430,9
33752,2644496784,1510570837434,430,9
33753,2644485048,1510568309614,430,9
33754,2644493337,1510566740398,430,9
33755,2644472069,1510559528417,430,9
33756,2644427725,1510557388301,430,9
33757,2679511825,1514244396318,450,9
33758,2679406648,1514234944628,450,9
33759,2679163377,1514182562226,430,9
33760,2679146107,1514180853916,430,9
33761,2679112799,1514177200028,430,9
33762,2679061776,1514171537718,450,9
33763,2678950736,1514160302472,450,9
33764,2675991171,1513835422589,1010,9
33765,2675962359,1513833454739,1010,9
33766,2675591440,1513804652382,450,9
33767,2675547538,1513803031658,450,9
33768,2675219192,1513750667753,450,9
33769,2675222639,1513749374426,450,9
33770,2675185769,1513747720966,400,9
33771,2675123745,1513745528928,400,9
33772,2675061904,1513743056225,400,9
33773,2673276080,1513558009162,450,9
33774,2673270926,1513556730523,450,9
33775,2672979683,1513545172252,430,9
33776,2672958864,1513542398216,430,9
33777,2676101623,1513846342221,420,9
33778,2675396498,1513781821124,1010,9
33779,2675414068,1513780127775,1010,9
33780,2675384182,1513778757192,1010,9
33781,2675392308,1513776549468,1010,9
33782,2675391166,1513774821570,1010,9
33783,2675390472,1513773767532,1010,9
33784,2675369008,1513771710268,420,9
33785,2675318909,1513756982255,1010,9
33786,2675313485,1513754996467,1010,9
33787,2675258608,1513753086357,1010,9
33788,2674115277,1513651609537,450,9
33789,2672768593,1513502942364,920,9
33790,2672355717,1513467169520,420,9
33791,2672318791,1513464934139,420,9
33792,2672038213,1513419568623,420,9
33793,2672045736,1513418072360,420,9
33794,2672049850,1513414777186,420,9
33795,2672013224,1513411648127,420,9
33796,2671602852,1513398329980,420,9
33797,2676582195,1513915169314,420,9
33798,2676529281,1513912344643,1010,9
33799,2676510767,1513910293673,1010,9
33800,2676469921,1513907786955,1010,9
33801,2676417483,1513905040106,420,9
33802,2676406232,1513902697728,420,9
33803,2676066157,1513842755270,1010,9
33804,2676070364,1513841178996,1010,9
33805,2676026106,1513839329308,1010,9
33806,2676017661,1513837396335,1010,9
33807,2675857118,1513826609535,420,9
33808,2675824475,1513824147369,420,9
33809,2675791808,1513821610864,420,9
33810,2675748871,1513819233894,420,9
33811,2675740118,1513817341970,420,9
33812,2675690698,1513814846714,420,9
33813,2675586230,1513805843438,420,9
33814,2674166765,1513656512490,420,9
33815,2674127354,1513654206701,420,9
33816,2674092656,1513650960727,420,9
33817,2650086796,1511154180496,440,9
33818,2648998470,1511066750896,440,9
33819,2647006075,1510865968959,440,9
33820,2644835937,1510624473410,440,9
33821,2644806797,1510622686409,440,9
33822,2643445876,1510489193811,440,9
33823,2642432801,1510427719427,430,9
33824,2642414824,1510425540850,430,9
33825,2642410572,1510424286622,430,9
33826,2642366276,1510422709146,430,9
33827,2642350454,1510417041530,430,9
33828,2642273972,1510404460532,430,9
33829,2642291932,1510402745214,440,9
33830,2642289863,1510400033236,440,9
33831,2642268098,1510397966039,440,9
33832,2642197238,1510386672611,420,9
33833,2641212202,1510320779347,440,9
33834,2641229855,1510319019214,440,9
33835,2641207581,1510315601911,440,9
33836,2641166480,1510304432917,440,9
33837,2677325138,1513986661788,1010,9
33838,2677318582,1513985357602,1010,9
33839,2676613025,1513917314839,1010,9
33840,2676576873,1513915758217,1010,9
33841,2676537924,1513913790337,1010,9
33842,2676518646,1513911966283,1010,9
33843,2676510801,1513910299770,1010,9
33844,2675645750,1513810973925,1010,9
33845,2675608792,1513809108348,1010,9
33846,2675104214,1513745181308,1010,9
33847,2675071494,1513743047901,1010,9
33848,2675015452,1513741754195,1010,9
33849,2674915252,1513739793750,1010,9
33850,2672367347,1513467724537,920,9
33851,2668377625,1513036677660,430,9
33852,2668360954,1513034147282,430,9
33853,2666156400,1512774782751,430,9
33854,2666137645,1512771716742,430,9
33855,2665456108,1512698914350,400,9
33856,2662728682,1512359503201,400,9
33857,2672214742,1513452391406,420,9
33858,2659723354,1512080541497,420,9
33859,2659637139,1512068296775,420,9
33860,2658797137,1511988336026,420,9
33861,2658783060,1511986317164,420,9
33862,2654771973,1511555293642,420,9
33863,2644578009,1510601397701,420,9
33864,2638930138,1510104445352,420,9
33865,2638892592,1510102356596,420,9
33866,2638716908,1510086801193,420,9
33867,2638689249,1510083013794,420,9
33868,2638702841,1510080164279,420,9
33869,2638678491,1510077413645,420,9
33870,2638674327,1510074563868,420,9
33871,2638653732,1510072963013,420,9
33872,2638484521,1510030712498,420,9
33873,2638455826,1510028576581,420,9
33874,2638433943,1510026122185,420,9
33875,2638375362,1510023893875,420,9
33876,2638217361,1510019900760,420,9
33877,2675988916,1513835305700,430,9
33878,2675958005,1513832869329,430,9
33879,2675909041,1513830738744,430,9
33880,2675909810,1513828931894,430,9
33881,2674287784,1513668117582,430,9
33882,2674290794,1513665699155,430,9
33883,2672707955,1513494758626,400,9
33884,2672692688,1513492958598,430,9
33885,2672676720,1513491534369,430,9
33886,2672624952,1513488364316,430,9
33887,2670747135,1513292180740,430,9
33888,2670358361,1513230826774,400,9
33889,2670323899,1513229182349,400,9
33890,2670246820,1513227475336,400,9
33891,2670166194,1513225408047,400,9
33892,2670132057,1513224028088,400,9
33893,2669712096,1513182074828,430,9
33894,2669720731,1513180869954,430,9
33895,2669706841,1513178203459,430,9
33896,2669647816,1513164549459,430,9
33897,2679024985,1514169253747,1010,9
33898,2648641959,1511036079042,430,9
33899,2640090525,1510205874010,450,9
33900,2635942135,1509776592768,420,9
33901,2635923319,1509774414687,420,9
33902,2635789711,1509766198789,420,9
33903,2635760596,1509762342544,420,9
33904,2635721912,1509760184841,420,9
33905,2635207034,1509685422058,420,9
33906,2634965096,1509679374698,420,9
33907,2634461622,1509602126306,420,9
33908,2634412473,1509596617988,420,9
33909,2634225907,1509582582558,420,9
33910,2633931381,1509516982169,420,9
33911,2633859069,1509511497602,420,9
33912,2633841347,1509507070055,420,9
33913,2633120744,1509434403446,420,9
33914,2632604984,1509354897590,420,9
33915,2632582444,1509350611709,420,9
33916,2632542812,1509341606777,420,9
33917,2679638403,1514258242369,420,9
33918,2679604045,1514254472960,420,9
33919,2679574703,1514251879481,420,9
33920,2679547303,1514249625761,420,9
33921,2679523680,1514247899951,420,9
33922,2679495990,1514245343818,420,9
33923,2679469518,1514243068920,420,9
33924,2679472034,1514240920929,420,9
33925,2679455440,1514238814530,420,9
33926,2679428215,1514236289383,420,9
33927,2679413756,1514234390021,420,9
33928,2678876306,1514155129439,420,9
33929,2678880232,1514153443683,420,9
33930,2678814221,1514151373621,420,9
33931,2678785779,1514148719956,420,9
33932,2678772042,1514147059976,420,9
33933,2678685625,1514145093068,420,9
33934,2678660542,1514142365600,420,9
33935,2678624531,1514140737472,420,9
33936,2678518235,1514137510630,420,9
33937,2679871244,1514283538656,430,9
33938,2679839025,1514280938901,430,9
33939,2679578642,1514252902670,430,9
33940,2679554948,1514251301472,430,9
