,Champ1,Champ1Points,Champ2,Champ2Points,Champ3,Champ3Points,accountIds,summonerIds,totalChampScores,name,rank
181,44,114313,267,106064,89,80899,213647388,50923551,171,Smoke Mor Weed,SILVER
182,29,124284,64,69683,67,69432,237927717,86189942,193,YourBoyBrown,GOLD
183,21,195963,24,16826,5,16416,47968057,33469079,39,jeronimojones,SILVER
184,64,197867,23,145700,238,97029,211646662,51669561,336,Best Student CAN,SILVER
185,56,428377,18,141873,113,95093,45902081,31520414,252,Celebhel,GOLD
186,236,256662,67,152406,18,85403,200800393,37735088,243,Be Like Bullet,GOLD
187,222,70472,17,68444,67,48704,201253190,38702789,230,HellloAgain,SILVER
188,5,206490,54,184096,106,74063,209747488,46851470,194,Aidenzou,SILVER
189,32,210914,161,169990,110,115726,229387491,68879461,244,ArcismrtkaCZ,SILVER
190,245,26983,12,25886,157,24684,202001977,43019272,236,Scouter128,SILVER
191,11,76897,56,42279,121,30407,34154183,20959216,241,ChaoticCorgi,SILVER
192,77,8069,18,3013,45,2796,36644346,22746936,16,BenGozzy,SILVER
193,8,150271,81,79078,96,67204,220141950,59239099,294,VegeTableB 0v0,GOLD
194,238,27302,498,21845,157,16720,205584990,46178477,185,The New Ninjas,SILVER
195,134,92488,99,82192,43,56218,37570673,23475567,250,Daddyyy,GOLD
196,267,37196,16,33011,117,21923,211976268,49034368,268,Cynimin,GOLD
197,29,61328,24,35656,55,25673,238446782,87719776,120,Soar Samuel,GOLD
198,238,61692,64,60954,245,41366,212148041,49341615,347,Rin Takeru,GOLD
199,64,191723,412,187995,157,117574,220488617,59489381,359,MOUHAHALOL123,GOLD
200,67,89425,157,47137,18,46972,201379625,38317517,383,GoodLickinKFC,SILVER
201,86,119763,25,101469,80,89144,220928839,59774217,263,TehSmurflet,SILVER
202,25,195654,43,153800,89,127007,232117182,73491116,225,Ushjxd,SILVER
203,112,95428,122,60288,236,59825,233614887,76641530,260,Mix30,SILVER
204,412,55725,91,46338,89,36629,38337630,24090157,82,RokiOki,BRONZE
205,59,89089,222,79687,5,65916,46820111,32047055,183,dkrdkr,SILVER
206,103,90251,98,73185,245,65150,229513599,69042666,205,mshen2000,SILVER
207,40,491335,17,255403,432,205291,289343,262508,375,Herding Cats,SILVER
208,53,79976,62,46628,157,37258,231552224,72702437,160,Darkoh POD,SILVER
209,133,147402,58,120298,91,114701,231431796,72829649,261,TheAngryPirateX2,BRONZE
210,67,132430,64,127267,157,114816,207881346,45062259,373,FlareXG,PLATINUM
211,112,601397,102,404191,131,301534,40298952,25823513,398,IIlIIIIlIIlIIlII,GOLD
212,64,392921,157,322614,222,255672,221558291,60273435,490,Cletoman,PLATINUM
213,90,813056,13,193380,57,190951,237158487,83731621,156,UncleFatlip,SILVER
214,23,375862,120,223064,54,180642,230426089,70379354,334,mage23514,PLATINUM
215,157,188421,84,169339,67,158319,206509579,43736303,376,Dêlusional ,PLATINUM
216,64,219560,114,120807,92,107806,235922926,81594701,227,iPlaymaker KR,PLATINUM
217,236,122827,202,79550,18,78579,35498533,21957718,122,Kakateo,PLATINUM
218,89,39170,16,33576,33,30579,43632728,29472502,39,Maybeifyouhelpme,GOLD
219,131,59212,238,38568,51,36105,207268884,44473322,129,DC24,PLATINUM
220,98,25809,67,24255,31,13716,204834759,41944322,51,Ryuzaaki,SILVER
221,98,382944,412,108377,119,90656,210177230,47489876,308,What The Spenny,BRONZE
222,79,138173,13,53125,81,49592,201655961,38813643,175,ChillyGlitch,SILVER
223,24,135920,39,119193,222,98371,210272075,47462274,265,puraxnoe,GOLD
224,37,51039,81,41334,51,40259,32536578,19808102,229,Ecose,SILVER
225,67,17107,64,8708,59,8224,37387245,26473462,38,4NEONFIRE,BRONZE
226,35,20758,19,20367,36,16302,36374999,22539038,114,Jester1337,SILVER
227,12,118023,157,58955,254,45149,48378924,34043476,284,watruw8ing4,SILVER
228,42,175168,18,77402,81,56332,225668087,62079969,154,silvermannsp,SILVER
229,35,212456,78,124872,25,115717,219295873,57740955,415,ObeseTabbyCat,SILVER
230,81,330478,157,157849,67,126427,232387422,74149533,329,TempusER 1998,GOLD
231,222,180691,236,158841,64,121770,212465159,49789843,425,the legend 32,GOLD
232,64,121581,92,112468,157,78108,204987770,42066657,437,IchBinEinFeeder,GOLD
233,34,133255,99,70274,63,65537,208813335,45735968,378,BIG sinister69,SILVER
234,29,121413,35,109007,1,71928,201296082,38333705,354,Sinister Bait,GOLD
235,31,120974,25,103427,19,85307,40305416,87080424,135,xolente,GOLD
236,222,137704,81,79195,29,72174,208005301,45176655,252,dondarr,GOLD
237,81,70349,80,45505,5,36308,40244514,25759304,239,LeftSmiling,GOLD
238,157,695546,134,97456,107,85015,217424365,55522480,238,Deadly Orange,PLATINUM
239,103,122503,16,118452,117,110260,206029705,69099198,251,IKouhai,GOLD
240,29,236830,25,223416,53,187390,211842669,49009078,346,FalconMunch,GOLD
241,81,111240,29,81711,104,80783,210070657,47359720,487,Juneblade,GOLD
242,157,1425149,238,196482,122,120839,220131222,58933571,400,Come Float,GOLD
243,103,662866,64,148063,412,92674,200173657,37107624,338,FoodStampGod,PLATINUM
244,157,109171,202,92831,80,74261,202374557,40623472,501,Zfiggy,PLATINUM
245,64,153320,4,64069,51,60451,211079036,48222215,205,Disisyeté Anyos,PLATINUM
246,122,202213,412,156496,68,123919,47198326,32392630,535,daddyTouchesMe,PLATINUM
247,76,176087,63,86680,105,46441,209703490,47148328,158,KirkyKahZ,GOLD
248,119,306253,98,108593,99,101343,210760103,47687629,295,Carry TheMiracle,GOLD
249,67,274614,60,183323,53,129726,234404392,78563266,261,Ember Celica,PLATINUM
250,99,196353,22,193543,106,177029,213556381,50910531,203,infierno2013,SILVER
251,99,213802,268,116520,103,103632,231730349,72922733,202,TheProdigy0987,BRONZE
252,10,1612032,117,89268,75,36714,220693683,59629731,110,Legend Of,SILVER
253,223,33732,76,33024,102,32933,48918170,34541439,204,budmans32,SILVER
254,19,451382,45,271672,44,124014,45930142,31472612,188,XtraSpatial,SILVER
255,157,59833,126,46215,45,43892,232446015,75102299,198,Drake132,BRONZE
256,69,206969,420,102686,40,70863,230898670,71502157,377,ATHURUS,SILVER
257,201,245975,89,201250,86,130960,213951717,51024054,91,FatalXLR,BRONZE
258,254,57535,102,26902,19,24462,209299750,46359136,151,BattleGuru,SILVER
259,77,67387,58,58436,82,56931,214495932,51729705,325,WayTooFly,SILVER
260,112,124425,236,118943,7,106325,226929233,64802561,229,mrfilmmkr,GOLD
261,67,142964,41,99294,157,70649,227899583,66251615,397,Shmangplank,SILVER
262,161,131350,53,102370,412,95286,213498872,50598667,316,On3R3m3dy,SILVER
263,50,135754,74,104199,83,102001,236246815,82672239,359,DioRu,SILVER
264,2,109173,61,54394,64,50749,210403872,47475697,311,Flaino,SILVER
265,157,437234,238,195040,119,124673,46061138,31437630,335,Ha55man,SILVER
266,21,229412,67,193020,202,185307,226799473,64869508,494,Hm01 As Hell,SILVER
267,157,118298,53,55609,99,51700,232411842,74350112,306,skalmannae,SILVER
268,102,62409,427,19994,92,7487,209786009,47169976,27,Tetrahfy,SILVER
269,4,109370,103,59847,126,43782,33899679,20784394,203,NathanExclusive,SILVER
270,157,30638,85,21959,115,19050,34925793,21509081,258,PGP,GOLD
271,23,7644,86,2435,13,2373,201491088,38572403,19,DuMaKebin,SILVER
272,119,139369,236,53866,58,53435,203490358,40572223,254,Zombie slayer968,GOLD
273,81,68747,51,62974,236,55492,211226320,48247261,247,leCero,GOLD
274,55,153944,134,30850,161,18561,236931171,83499637,79,Toxic Aerosol,GOLD
275,17,85606,245,78988,103,74829,223455755,63889303,356,Spyeria,GOLD
276,432,69592,90,20968,12,11820,232969555,75689220,51,Feelz Bard Man,SILVER
277,81,122618,236,121212,429,84609,216803851,54431912,273,G0r3h0und,GOLD
278,105,122637,412,74874,236,63828,203168210,40299550,375,Nostalgiac,GOLD
279,67,177009,236,72817,412,32384,50509463,35900721,187,Farewell Turtle,PLATINUM
280,412,36389,222,26967,53,20986,210470105,47567919,150,KiMoJi S,GOLD
281,412,59280,432,45643,245,41403,206232498,43516780,347,Decorative Noose,GOLD
282,107,149861,121,149717,92,53123,43528055,29198354,295,Veltaz,GOLD
283,236,58811,245,58739,81,56486,35436644,21874816,480,Gangaruno,GOLD
284,267,60874,201,53792,40,51944,209742885,46811306,352,Nilaga,SILVER
285,26,46759,51,9741,498,6578,203198155,40330581,64,Zyas,SILVER
286,11,19565,498,18949,157,16516,214287407,51532804,55,LyraOrpheus,SILVER
287,56,127529,32,120463,80,106407,33126652,20242017,246,The Wa1ker,GOLD
288,80,104326,31,48784,59,40623,34218034,21002421,137,Jabagenia,GOLD
289,55,69111,63,41564,222,39637,48127940,33341282,354,Marcus Brine,GOLD
290,81,117022,37,80640,99,73954,233419846,76521216,123,Nixiero,BRONZE
291,75,870428,27,469452,50,277571,42546818,28369719,200,Cosmic DNA,SILVER
292,245,145633,81,111082,86,107085,233757162,77020708,112,TuChileMexicano,BRONZE
293,67,160248,51,87038,23,68479,33341711,20429752,300,Nagualo,BRONZE
294,13,183668,11,96094,37,81315,226758230,64580266,188,Auquas,SILVER
295,236,90749,51,65582,7,49993,212359398,49298970,147,Havoc1001,SILVER
296,157,280230,122,135405,238,133995,228288403,66642186,339,FuzzInYoFace,SILVER
297,202,290791,22,241380,222,156507,49341167,34862851,238,Admiral Hampton,BRONZE
298,5,300856,19,135229,412,8249,37664812,23549759,37,Erecta,SILVER
299,127,405540,163,259403,112,166626,215075309,52261269,318,aboynamedRufio,SILVER
300,429,71435,51,64792,81,59058,42565383,28420576,382,CaribouCarp,GOLD
301,98,496617,412,264965,432,142460,231294223,72379754,340,datgnargnar,SILVER
302,134,242436,103,120667,202,96375,206173209,43554501,140,StealthyBeaver,GOLD
303,63,162794,81,70668,163,69600,43613249,29341630,330,Jibop Jopip,GOLD
304,81,120792,17,117967,64,107546,233824822,77132607,248,jason61,PLATINUM
305,27,100834,122,80479,19,76791,39800471,25234094,331,I Cant Piss,PLATINUM
306,7,79776,55,76114,81,62998,35148693,40082961,246,degmont,GOLD
307,7,122147,51,106497,112,62418,214095777,50988208,132,Raymond 0104,PLATINUM
308,429,46974,101,2668,51,2616,213855213,51040788,26,Epilepsy,GOLD
309,11,132257,107,69806,121,43480,228074706,66541473,192,IDontGankMid,GOLD
310,84,381937,55,172871,131,85172,223244376,84711013,137,cchanner,BRONZE
311,106,289006,51,142396,62,113524,208355028,45551100,67,Armonoid,BRONZE
312,19,288959,78,268599,266,224411,233638618,76822118,88,TheMcFallen,SILVER
313,102,24379,96,22040,86,15800,231121951,71959495,123,nsully1028,BRONZE
314,157,62971,222,60103,122,42154,229185440,68529488,364,sscottio97,BRONZE
315,44,169045,111,94457,99,58413,208683698,45722614,276,BillyBlades,SILVER
316,21,165083,11,104930,5,43023,230565969,70423371,172,jerk124,BRONZE
317,11,210690,63,104314,22,61392,47350560,37869182,120,AC3e,BRONZE
318,498,33621,157,28904,99,27519,227478544,65570394,135,DMNDSnipez,BRONZE
319,245,55201,157,52057,122,40363,49485977,35110260,221,iSoNexus,BRONZE
320,412,85600,96,85463,222,82337,217372098,55512284,388,THRËŠH BÖT,SILVER
321,238,121478,236,101938,51,71919,215054079,52290393,394,TheBlackHamm3r,SILVER
322,23,295680,36,158984,37,47911,213536403,50920153,279,EmeraldRang3r,SILVER
323,11,100648,17,80559,133,35557,236750250,83329884,106,ANHNT2407KR,BRONZE
324,25,251696,202,73418,240,60858,228894435,68080000,244,Tazer994,BRONZE
325,412,133682,53,104051,24,82081,223989431,64079925,126,WatskyKills,SILVER
326,67,61824,64,58643,157,45790,50495925,35949397,229,Sexy PartyPooper,BRONZE
327,105,344652,238,232763,11,205336,231425304,72819368,410,hackdown21,GOLD
328,55,359612,63,174079,157,174004,216300922,53640208,359,Kat Chow,GOLD
329,83,213718,86,148965,90,140276,210648098,47694031,367,Mikasa104th,SILVER
330,143,317339,51,29928,57,25796,38829223,24473150,210,martinilittleboy,SILVER
331,92,110284,67,110278,99,80090,213568106,50920935,262,ohxay,GOLD
332,75,310521,107,297056,89,141184,40751556,26055760,242,Broadbeard,GOLD
333,112,46751,90,19396,48,17643,201162855,38161280,77,Scoop Miester,GOLD
334,81,198041,35,136263,11,128337,33681132,20630330,238,Areschris,GOLD
335,236,179874,67,143665,81,122683,51294954,36844762,276,Protero,PLATINUM
336,40,680350,16,250720,267,70148,50169862,35572755,55,MAMAMOO Moonbyul,GOLD
337,412,106047,201,56573,25,47157,230713760,71271381,309,Slôth,GOLD
338,86,164172,134,130913,59,109653,218735028,56805637,449,JumpingJeremy,PLATINUM
339,99,343218,161,72235,18,70736,49048980,34647149,155,DoctorDong4,GOLD
340,48,120900,412,102331,77,102238,32590942,19849238,380,archona,PLATINUM
341,64,148044,79,54106,59,53029,35159036,21673461,369,Mirana,DIAMOND
342,24,102545,27,95326,64,63699,32744139,19965444,450,Plazbo,PLATINUM
